danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,updated_popularity,genre_edm,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,song_age,duration_mn
0.748,0.916,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,43,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.542465753424658,3.2459
0.726,0.815,-4.969,0.0373,0.0724,0.00421,0.357,0.693,99.972,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.043835616438356,2.71
0.675,0.931,-3.432,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.484931506849315,2.9436
0.718,0.93,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,121.956,38,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.446575342465754,2.818216666666667
0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,63,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.8191780821917805,3.1508666666666665
0.675,0.919,-5.385,0.127,0.0799,0.0,0.143,0.585,124.982,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.468493150684932,2.7174833333333335
0.449,0.856,-4.788,0.0623,0.187,0.0,0.176,0.152,112.648,38,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.427397260273972,3.1279166666666667
0.542,0.903,-2.419,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.3342465753424655,3.4603166666666665
0.594,0.935,-3.562,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.542465753424658,3.2197833333333334
0.642,0.818,-4.552,0.032,0.0567,0.0,0.0919,0.59,124.957,51,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.526027397260274,4.217333333333333
0.679,0.923,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.523287671232877,3.4649
0.437,0.774,-4.918,0.0554,0.148,0.0,0.133,0.329,123.125,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.36986301369863,3.39555
0.744,0.726,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.7534246575342465,3.20845
0.572,0.915,-4.451,0.0625,0.0111,0.0,0.339,0.678,123.919,43,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.619178082191781,2.7419333333333333
0.69,0.78,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.465753424657534,4.253966666666667
0.805,0.835,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.049315068493151,3.137166666666667
0.694,0.901,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.657534246575342,2.8924666666666665
0.678,0.747,-5.289,0.165,0.0395,0.0,0.174,0.516,120.002,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.002739726027397,3.15625
0.746,0.557,-6.722,0.0542,0.103,0.0036,0.138,0.324,111.961,48,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.810958904109589,2.6567333333333334
0.467,0.821,-5.466,0.0934,0.00791,0.000441,0.131,0.232,122.676,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.197260273972603,3.0894333333333335
0.572,0.934,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.35068493150685,3.5873
0.708,0.913,-4.329,0.0348,0.089,0.081,0.113,0.707,135.016,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.35068493150685,2.84445
0.684,0.818,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.6438356164383565,3.5161333333333333
0.732,0.85,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,47,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.178082191780822,3.2258
0.62,0.889,-3.785,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.6,3.4182166666666665
0.675,0.76,-7.037,0.0434,0.104,0.0,0.33,0.468,124.933,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.523287671232877,2.88
0.682,0.851,-7.117,0.0363,0.0146,0.000834,0.0289,0.348,126.0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6.389041095890411,3.20635
0.641,0.869,-4.754,0.0423,0.0319,0.00131,0.403,0.358,128.091,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.158904109589041,2.96875
0.702,0.814,-7.51,0.0841,0.107,3.03e-05,0.374,0.503,121.993,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.079452054794521,2.8666666666666667
0.716,0.815,-4.121,0.0533,0.108,0.0,0.163,0.351,124.975,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.101369863013699,3.67355
