track_id,track_popularity
6f807x0ima9a1j3VPbc7VN,43
0r7CVbZTWZgbTCYdfa2P31,42
1z1Hg7Vb0AhHDiEmnDE79l,45
75FpbthrwQmzHlBJLuGdC7,38
1e8PAfcKUYoKkxPhrHqw4x,63
7fvUMiyapMsRRxr07cU8Ef,39
2OAylPUDDfwRGfe0lYqlCQ,38
6b1RNvAcJjQH73eZO4BLAB,45
7bF6tCO3gFb8INrEDcjNT5,41
1IXGILkPm0tOCNeq00kCPa,51
3eFJI470ALf1EYjywPRsJy,25
3iJeF2izF1QcpCgUc97BLl,46
6e0CvGZf7CouOpYF8toXHC,60
3eLdNmnRWr9gIyBcqTSSti,43
55nMnifaQWKe3f9cbwOXwx,40
1EJgymgJHcjSOGSHcYaxvW,35
5WaXMQMlQpq8pwIdaFP43L,24
3TjLsDgL0bTbSQIF6M5Ki8,39
0GfS3y8Jd7SHWd9R51s7Fo,48
2v3DuCVBbopteJqdM7aKQK,5
4QAUGy6k7c3IOAhgWz52r7,53
3Ciaf6WgvG95TGRGxQ1yO8,39
1mC2UjWt25Oixtqu7C6suL,40
2wenGTypSYHXl1sN1pNC7X,47
4sqABRRGU7CzcHXCyxUzFw,26
5dy3WUywjZcalTno1io8TQ,40
2M9GeaCQXrV12J0wzBxIwi,5
1zzOMDmkRZy0g9f4JTAZKn,0
4OFFY6L5ywYM1TwhXX69wQ,0
1hr5Y2i4NlE3LPvQZ9Q5Ao,0
1aT7vltGhkjyMI3F3aO3A4,26
4YaU1EjXIkdRdkOI4cCZys,29
0Fc9QSMX6fgEBgDjUax7t7,0
7AasLZ4TYgh7dbJXZxcZVE,0
7p4jpmyBnOpqQ3rSGJzZ7w,27
4sLtguRBis05qfsBgJ1IdN,21
508lUjbGcPrL0CfvHC7UvI,0
7FDaS1k08rwMoAThmzUkOZ,39
6m8SIT10j41SPpPFOknTmP,37
5Vwgf4MVO0vLv8fbxaGGiW,21
5scxjvcdozadBoRRN0UMaM,27
6oJ6le65B3SEqPwMRNXWjY,73
2tilX6FUl0IwFgiOYjuc6V,28
3yNZ5r3LKfdmjoS3gkhUCT,63
478QYNLw6dhTTx4oEkhBeq,0
3C4fzUgIP3ahkhOBdP38GM,36
2k4c9ZAlIYHyXiJ4i20FO7,28
79zGYOcAe2VmJsyQiJX31a,30
6B2NRQjtSOtqi67d72r5cx,0
08rBIlTMXlF5uEHobZglxv,15
1BmdqDrBU5eohtRwHBls6C,37
5rxKInBVj0QE87KenyDiLf,3
3kgKVcBpBGuSeaEC0AZGlb,53
5qCrT9lVmIGxqB8i6bb83P,0
3Lv3frZVXU7Q0JEFvLIzWW,46
2bZYJvVRN5EqIvAUFhUNls,0
3utdq3dPLVD4r7Vv9BnCAI,0
1ppOGANOzMT01Cxh9jx4hN,0
5Shjuje8PRcX7ueEVajrLH,35
6wKJjrWWP4qpzYbE8oQkc4,43
6EDH26ppl7R8oV4tGilCkS,0
4RaN7556EogBfF80klMEX2,19
1nwoWaqzB30bD4IPqRNuex,23
4fDBElPGDqZQ3rJorZTm2w,0
6AZ21kPj2a0INgf3uCviVu,33
3uXHSf9sSIpOJWuC1H8DiU,38
4Q9iBGT9b9CVTtDwsgQWnl,27
6LCsZ8ARrIq0n9nr6gM2ru,34
27F9FlipD657qYRQT3qxFm,20
6B9cqNooxIyPfr3P5EB8LA,48
05CwHjIk71RXVU40boRMnR,0
0qc4QlcCxVTGyShurEv1UU,63
5icOoE6VgqFKohjWWNp0Ac,7
6GIRtKNXokeu25nn7U6Hu8,50
4PkIDTPGedm0enzdvilLNd,51
5PYQUBXc7NYeI1obMKSJK0,66
4Gcv5SsxnQWpmOnUI19EJk,51
5YkmS18BehACOhIIeUqe6l,48
3vQhEd4lOg4mAV6CHCgoHW,36
6wo37KVqFJhtuxPTpLCcfe,2
3OTSBoYKO7HzGVj8Bu2OH9,59
4NSW0Km5ZG60L8FthUebPJ,59
1xK7enJZVdv37fnnxoZlPq,45
1z1XegUChLLQfcbtIK8ABn,53
6aoGtdWXBkYQ2O2wnyIz2x,51
5tAa8Uaqr4VvA3693mbIhU,3
18W92Zm1KjLCbUIszOhpkD,63
3D37T7euWvVJ45evRmriIh,52
3y3brCCecHC3Db18aIOnny,58
6XqvFyJGdUD5IWee02ARKU,0
575NJxNUVDqwJGdzBrlLbv,57
70YPzqSEwJvAIQ6nMs1cjY,58
7Ht0v0LWBCOEjmNQ0iMpNr,43
6nDKrPlXdpomGBgAlO7UdP,1
2b1BwUGGyKq0CoJd8G1B6M,20
09IStsImFySgyp0pIQdqAc,78
1lGVyEkGHUz7Pg78QGaS4a,49
6ksMjdec8b6C45TUawkAdu,31
1vsQb8n0icvMsFnL9663LM,57
6pooRNiLyYpxZeIA5kJ5EX,56
5WHTFyqSii0lmT9R21abT8,71
1pBO9JDqh1y3TbCKEO1OvG,0
1LjxmkW3xRQP2HzswhYyyc,44
7FCZhkhzEUVNUAlGauNKIe,0
2JoIjuzRplpYGvvLpSW2on,43
4PUWpNtDejQwwa80LjvxXl,45
1nufXiTCTTAeJfO9hLHvO8,46
1NDxZ7cFAo481dtYWdrUnR,64
1ahVFh0ViDZr8LvkEVlq3B,59
0Ev562zA4pmUsBqjxsxxdx,65
5l8AUgBTWuOECwVgYtaUyE,36
35MKhw2YBKApmD7fAnPERC,47
3Kuu5vASpXK8oRsxOvau6P,54
7KW3XQV5Or5CF57MYVj5h4,42
3M9Apu4OZfylLTFKvgEtKa,60
5N4erncE7kuUccm7zEmwzk,69
6QcrReLyoun4xrPVsZ5OJE,0
1kQhi22kyluRCnIPAXtxEZ,54
5cE201rNvIkryS8N1dJ5nR,0
4AkCyd9Nlbt8JprQq9V6o2,0
48GmVZwvkoVC5StfMLfNJE,26
01iyINEYgPQ7ThMZuHUsqS,44
6BwClo5W3VvTzJv8bvZXDD,37
108r6pnZHStBIktpyyps9w,42
24Hzd4FPhz0HPx9jhM9cap,26
4aTtHoSBB0CuQGA6vXBNyp,48
0gIZLyF3MWQVcspzrLWYod,0
6y1UtRcHQU07aUs3oxZ8Yn,59
54z0kLF0skj0Hdb9wCqPJt,38
6mPstbtzhyqKmwefY4eVWD,0
6uBhi9gBXWjanegOb2Phh0,76
1Pe3Tnahd3nNcKrTvNvNvW,35
4w8niZpiMy6qz1mntFA5uM,72
7BKLCZ1jbUBVqRi2FVlTVw,87
2IDHoSlbG0CKH9rhq68wTb,37
60wwxj6Dd9NJlirf84wr2c,79
6kPJZM97LwdG9QIsT7khp6,70
3ebXMykcMXOcLeJ9xZ17XH,76
7iNIg7XDEaYECfWD5dJ9Va,70
6cy3ki60hLwimwIje7tALf,69
5N5k9nd479b1xpDZ4usjrg,71
0qaWEvPkts34WF68r8Dzx9,66
6jq6rcOikCZAmjliAgAmfT,58
762UXiwEHYY97VL45sAUPR,52
6RUKPb4LETWmmr3iAEQktW,87
7ef4DlsgrMEH11cDZd32M6,80
3zU9rdflI65tK4dkkNSp77,74
12GEpg2XOPyqk03JZEZnJs,66
4kte3OcW800TPvOVgrLLj8,69
0lYBSQXN6rCTvUZvg9S0lU,88
3vv9phIu6Y1vX3jcqaGz5Z,81
2QtJA4gbwe1AcanB2p21aP,68
1BltsyC5W3SAABdxyrDXwi,2
3tTYxjYYcXFqFXA0AZ1Fav,35
09CtPGIpYB4BrO8qb1RGsF,86
0azC730Exh71aQlOt9Zj3y,79
4h8VwCb1MTGoLKueQ1WgbD,10
0E9ZjEAyAwOXZ7wJC0PD33,78
0lHAMNU8RGiIObScrsRgmP,72
0n8ob8S72lvznoVfiwz4qL,14
4r6eNCsrZnQWJzzvFh4nlg,72
0GzmMQizDeA2NVMUaZksv0,54
1MlAkYV0nbRKWhhfvTt3zc,44
1WkMMavIMc4JZ8cfMmxHkI,72
7C7yqFTM0ncyJ04GIKrxdV,63
0WfKDYeUAoLA3vdvLKKWMW,3
22mek4IiqubGD9ctzxc69s,77
61ZM92T2zaXIVsqncThQzC,59
6TnxdnJcZIwCWiCHq5Qds0,0
2aFAmDBycyEnj3lcS95JMe,30
0Npijoc6ZcUe1devUugKvI,0
5gwLIRjGFf3hXuHoKEsWLg,64
3d4lc8esnUl7Bx9J9d9oty,33
0U6bQIAh6MCGo1xjbIIx2S,56
3oIVK7arAFuUOCGafPLxSC,49
2I4jAMEOEUQD5V1byYCqNS,10
59QmL8ygKtVfMHmPx3GaBX,23
5EdYlCWou17k0N1PADLKfO,39
5MvsfUN0H79C24t3fPepeL,26
7CHi4DtfK4heMlQaudCuHK,70
1CW7tYkpJ95c7bQkRf6CcK,40
4bSFPMXKYaCoBhzJv276zl,0
